point0-x,point0-y,time,
0.153884,-0.0133547,2.11,
0.155214,-0.0136567,2.12,
0.156619,-0.014097,2.13,
0.158305,-0.0145568,2.14,
0.160003,-0.014957,2.15,
0.161312,-0.0152221,2.16,
0.162314,-0.0153951,2.17,
0.163299,-0.0155021,2.18,
0.164362,-0.0155752,2.19,
0.165524,-0.0157608,2.2,
0.166744,-0.0161061,2.21,
0.167843,-0.0165461,2.22,
0.168783,-0.0169305,2.23,
0.169518,-0.0172306,2.24,
0.169723,-0.0173955,2.25,
0.169259,-0.0173243,2.26,
0.168552,-0.0171039,2.27,
0.167964,-0.0168195,2.28,
0.167325,-0.0165647,2.29,
0.166496,-0.0163586,2.3,
0.165587,-0.0161518,2.31,
0.164525,-0.0159027,2.32,
0.163101,-0.0155802,2.33,
0.161241,-0.0152074,2.34,
0.158996,-0.0147399,2.35,
0.156611,-0.0142073,2.36,
0.154516,-0.0137594,2.37,
0.152811,-0.0134181,2.38,
0.151167,-0.0131364,2.39,
0.149515,-0.0128478,2.4,
0.148021,-0.0125529,2.41,
0.14645,-0.0122683,2.42,
0.144437,-0.0119255,2.43,
0.142126,-0.0115539,2.44,
0.139906,-0.0112034,2.45,
0.137899,-0.0109707,2.46,
0.136071,-0.010836,2.47,
0.134307,-0.0106862,2.48,
0.13239,-0.0104873,2.49,
0.130275,-0.01019,2.5,
0.127948,-0.00980462,2.51,
0.125143,-0.00928683,2.52,
0.121767,-0.00866316,2.53,
0.118297,-0.0080882,2.54,
0.115096,-0.0076346,2.55,
0.111934,-0.00727605,2.56,
0.108617,-0.00691252,2.57,
0.105262,-0.00653682,2.58,
0.101848,-0.00615017,2.59,
0.0982027,-0.00565263,2.6,
0.0943094,-0.00506615,2.61,
0.0902926,-0.00446886,2.62,
0.0864035,-0.00395852,2.63,
0.0829915,-0.00358641,2.64,
0.0800544,-0.00331655,2.65,
0.0772077,-0.00314683,2.66,
0.0743687,-0.00302609,2.67,
0.0717233,-0.00293866,2.68,
0.0690987,-0.00278915,2.69,
0.066191,-0.00252636,2.7,
0.0632157,-0.00225338,2.71,
0.0605664,-0.00199932,2.72,
0.0582823,-0.0017795,2.73,
0.0562196,-0.0015917,2.74,
0.0542099,-0.00148449,2.75,
0.0520489,-0.00145606,2.76,
0.0496878,-0.00142089,2.77,
0.0471739,-0.00135662,2.78,
0.0443459,-0.00122939,2.79,
0.0411974,-0.00107549,2.8,
0.0382147,-0.00091823,2.81,
0.0357111,-0.000706542,2.82,
0.0333949,-0.000493921,2.83,
0.0310166,-0.00032887,2.84,
0.0286865,-0.000229768,2.85,
0.0263929,-0.000159428,2.86,
0.0239749,-0.000102281,2.87,
0.0214856,-0.000118921,2.88,
0.0191128,-0.000162863,2.89,
0.0171003,-0.000200509,2.9,
0.0157166,-0.000173507,2.91,
0.0149039,-9.98483e-05,2.92,
0.0142498,-4.9765e-05,2.93,
0.0136345,2.46505e-05,2.94,
0.013238,0.00011374,2.95,
0.0129019,0.000179043,2.96,
0.0123615,0.000156296,2.97,
0.0118564,7.74883e-05,2.98,
0.0117791,1.05346e-05,2.99,
0.0121182,-6.44013e-05,3,
0.0126724,-0.000128966,3.01,
0.0132742,-0.000178465,3.02,
0.0137358,-0.000164596,3.03,
0.014016,-6.54175e-05,3.04,
0.0141813,2.31476e-05,3.05,
0.0141228,7.39186e-05,3.06,
0.0138687,9.70323e-05,3.07,
0.0138826,9.96808e-05,3.08,
0.0144382,4.91912e-05,3.09,
0.0151995,-7.10327e-05,3.1,
0.0159031,-0.000157774,3.11,
0.0166753,-0.00019471,3.12,
0.0175293,-0.00017589,3.13,
0.0183145,-0.000131589,3.14,
0.0190991,-9.50971e-05,3.15,
0.0200982,-3.04345e-05,3.16,
0.0215176,1.08509e-06,3.17,
0.0235452,-4.48892e-05,3.18,
0.0260611,-0.000187703,3.19,
0.0286378,-0.000347782,3.2,
0.0311555,-0.000485415,3.21,
0.0338068,-0.000647945,3.22,
0.0364639,-0.000784284,3.23,
0.0388856,-0.000868755,3.24,
0.0413237,-0.000910299,3.25,
0.0441563,-0.000979626,3.26,
0.0473039,-0.00113706,3.27,
0.0505043,-0.00134612,3.28,
0.0535919,-0.00157411,3.29,
0.0564198,-0.00180467,3.3,
0.0589671,-0.00205219,3.31,
0.0613334,-0.00228448,3.32,
0.0634785,-0.00241318,3.33,
0.0654575,-0.00250551,3.34,
0.0677016,-0.00262844,3.35,
0.0704254,-0.00278902,3.36,
0.0732461,-0.00295437,3.37,
0.0758854,-0.00310088,3.38,
0.0784851,-0.00330863,3.39,
0.08108,-0.00355734,3.4,
0.0835266,-0.00381495,3.41,
0.0859221,-0.00405581,3.42,
0.0885147,-0.00434438,3.43,
0.0914618,-0.00473532,3.44,
0.0948658,-0.00514358,3.45,
0.0985611,-0.0055454,3.46,
0.102133,-0.00593476,3.47,
0.105463,-0.00633791,3.48,
0.108747,-0.00674447,3.49,
0.111887,-0.00711883,3.5,
0.114676,-0.00749906,3.51,
0.117371,-0.00796321,3.52,
0.120315,-0.00854291,3.53,
0.123384,-0.00912883,3.54,
0.126308,-0.00962523,3.55,
0.128959,-0.0100651,3.56,
0.131242,-0.010398,3.57,
0.133162,-0.0105652,3.58,
0.134851,-0.0106251,3.59,
0.136311,-0.0106832,3.6,
0.137563,-0.0108474,3.61,
0.138961,-0.0111055,3.62,
0.140663,-0.0114388,3.63,
0.142301,-0.0117693,3.64,
0.143622,-0.0120688,3.65,
0.144807,-0.0123059,3.66,
0.145964,-0.0123841,3.67,
0.146999,-0.0123802,3.68,
0.148016,-0.0124249,3.69,
0.149193,-0.0126008,3.7,
0.150576,-0.0128683,3.71,
0.152177,-0.0132259,3.72,
0.153817,-0.013681,3.73,
0.155114,-0.0141226,3.74,
0.155998,-0.0144459,3.75,
0.156771,-0.0146185,3.76,
0.157456,-0.0146992,3.77,
0.157865,-0.0147652,3.78,
0.158179,-0.0148264,3.79,
0.158652,-0.0148905,3.8,
0.159101,-0.0149715,3.81,
0.159203,-0.015048,3.82,
0.158835,-0.0150537,3.83,
0.157983,-0.0148829,3.84,
0.156771,-0.01459,3.85,
0.155449,-0.0142638,3.86,
0.154055,-0.0139502,3.87,
0.152561,-0.0136318,3.88,
0.151248,-0.0133008,3.89,
0.150222,-0.0130434,3.9,
0.149061,-0.0127999,3.91,
0.147463,-0.0124902,3.92,
0.145669,-0.0121051,3.93,
0.143887,-0.0117431,3.94,
0.142088,-0.0114659,3.95,
0.140355,-0.0112447,3.96,
0.138834,-0.0110837,3.97,
0.137547,-0.0109589,3.98,
0.136453,-0.0108689,3.99,
0.135333,-0.0107525,4,
0.133807,-0.0105011,4.01,
0.131863,-0.0101294,4.02,
0.129866,-0.00976507,4.03,
0.127865,-0.00946483,4.04,
0.125639,-0.00918143,4.05,
0.123336,-0.00892059,4.06,
0.121208,-0.00874282,4.07,
0.119065,-0.00855475,4.08,
0.116572,-0.00824099,4.09,
0.113669,-0.00777621,4.1,
0.110445,-0.00719471,4.11,
0.107071,-0.00660709,4.12,
0.103772,-0.00604787,4.13,
0.100543,-0.00555665,4.14,
0.0973208,-0.00516119,4.15,
0.0943277,-0.00490705,4.16,
0.0916358,-0.00473373,4.17,
0.0888367,-0.00450342,4.18,
0.0856998,-0.00422084,4.19,
0.0825652,-0.00390493,4.2,
0.0796878,-0.00357898,4.21,
0.0769959,-0.00323277,4.22,
0.0745114,-0.00291671,4.23,
0.0723347,-0.0027019,4.24,
0.0704097,-0.00259111,4.25,
0.0686156,-0.0025357,4.26,
0.0667498,-0.00247098,4.27,
0.0645256,-0.002398,4.28,
0.0620173,-0.00231753,4.29,
0.0596351,-0.00217958,4.3,
0.0574376,-0.00198209,4.31,
0.0551834,-0.00177147,4.32,
0.052976,-0.0015793,4.33,
0.0510115,-0.00142005,4.34,
0.0490478,-0.00124818,4.35,
0.0467463,-0.00109118,4.36,
0.0441277,-0.000974157,4.37,
0.0413604,-0.000898872,4.38,
0.0386466,-0.000816729,4.39,
0.0362101,-0.000705496,4.4,
0.0340512,-0.000636798,4.41,
0.0320776,-0.000564796,4.42,
0.0304369,-0.000457562,4.43,
0.0291595,-0.000317058,4.44,
0.0278378,-0.000210106,4.45,
0.0262751,-0.000158688,4.46,
0.0248347,-0.000132438,4.47,
0.02378,-0.00013367,4.48,
0.0230189,-0.000158825,4.49,
0.0225437,-0.000237793,4.5,
0.0224339,-0.000313761,4.51,
0.0225943,-0.000316649,4.52,
0.0228658,-0.000274673,4.53,
0.0230635,-0.000241374,4.54,
0.0229522,-0.000197386,4.55,
0.0226322,-0.000126094,4.56,
0.0225039,-7.44369e-05,4.57,
0.0226214,-0.000111541,4.58,
0.0227279,-0.000198394,4.59,
0.0229015,-0.000288339,4.6,
0.0233324,-0.000348088,4.61,
0.0237752,-0.000369706,4.62,
0.0239146,-0.000382851,4.63,
0.0238219,-0.000320595,4.64,
0.0237146,-0.000203235,4.65,
0.0237778,-9.86338e-05,4.66,
0.0241906,-8.19608e-05,4.67,
0.0249278,-0.000121351,4.68,
0.0258655,-0.000172247,4.69,
0.0271107,-0.000272884,4.7,
0.0286755,-0.000402447,4.71,
0.0301744,-0.000531068,4.72,
0.0314456,-0.000584081,4.73,
0.0328768,-0.000572316,4.74,
0.034727,-0.000573804,4.75,
0.0368468,-0.000614289,4.76,
0.0391806,-0.000672273,4.77,
0.0417837,-0.000756312,4.78,
0.0445368,-0.000930004,4.79,
0.0472512,-0.00118669,4.8,
0.0497718,-0.00142502,4.81,
0.0519393,-0.00160807,4.82,
0.0538926,-0.00175598,4.83,
0.0560291,-0.00190644,4.84,
0.0583767,-0.00205562,4.85,
0.0606628,-0.00213627,4.86,
0.0629384,-0.00221753,4.87,
0.0653751,-0.00235734,4.88,
0.0677171,-0.00253391,4.89,
0.0696676,-0.00266433,4.9,
0.0713616,-0.00277245,4.91,
0.0730601,-0.00295218,4.92,
0.0749312,-0.0031635,4.93,
0.0771063,-0.00337867,4.94,
0.0795466,-0.00357325,4.95,
0.0821156,-0.0037853,4.96,
0.084867,-0.00403668,4.97,
0.0877901,-0.00427648,4.98,
0.0905241,-0.00447491,4.99,
0.0929489,-0.00467946,5,
